['2015-01-17T22', '285419', 'TV419', '100', '3']
['2014-10-25T12', '647100', 'TV419', '25', '2']
['2014-10-25T20', '673498', 'TV419', '200', '3']
['2014-11-22T10', '194229', 'TV419', '100', '3']
['2014-11-24T18', '520707', 'TV419', '100', '3']
['2014-12-23T13', '482003', 'TV419', '100', '3']
['2014-11-27T08', '518700', 'TV419', '112', '3']
['2014-11-26T05', '815197', 'TV419', '37', '2']
['2014-10-31T02', '414655', 'TV419', '100', '3']
['2014-11-09T05', '414633', 'TV419', '100', '3']
['2014-12-16T11', '422953', 'TV419', '37', '2']
['2014-11-24T00', '487678', 'TV419', '87', '3']
['2014-11-02T02', '419274', 'TV419', '12', '1']
['2014-12-03T20', '782282', 'TV419', '12', '1']
['2014-11-09T05', '51829', 'TV419', '100', '3']
['2014-11-09T15', '769143', 'TV419', '12', '1']
['2014-11-11T00', '488215', 'TV419', '100', '3']
['2014-11-09T03', '499967', 'TV419', '12', '1']
['2014-10-29T06', '331035', 'TV419', '12', '1']
['2014-11-15T04', '775024', 'TV419', '12', '1']
['2014-11-01T04', '104488', 'TV419', '12', '1']
['2014-11-16T05', '499988', 'TV419', '37', '2']
['2014-11-17T02', '63575', 'TV419', '50', '2']
['2014-11-29T11', '524276', 'TV419', '37', '2']
['2014-12-03T11', '776094', 'TV419', '225', '3']
['2014-12-06T16', '495137', 'TV419', '12', '1']
['2014-11-18T23', '771947', 'TV419', '100', '3']
['2014-11-18T19', '225301', 'TV419', '87', '3']
['2014-11-20T01', '500299', 'TV419', '25', '2']
['2014-11-20T09', '777019', 'TV419', '100', '3']
['2014-11-25T11', '75436', 'TV419', '12', '1']
['2014-11-21T02', '220376', 'TV419', '75', '2']
['2014-12-21T18', '775154', 'TV419', '25', '2']
['2015-01-19T13', '224573', 'TV419', '50', '2']
['2014-11-22T12', '773850', 'TV419', '37', '2']
['2014-12-08T14', '69561', 'TV419', '62', '2']
['2014-11-22T23', '497348', 'TV419', '12', '1']
['2014-12-12T11', '495101', 'TV419', '12', '1']
['2014-11-14T07', '233242', 'TV419', '12', '1']
['2014-11-24T06', '507346', 'TV419', '112', '3']
['2014-12-19T05', '233354', 'TV419', '75', '2']
['2014-12-30T07', '67158', 'TV419', '100', '3']
['2014-11-25T16', '780360', 'TV419', '12', '1']
['2014-11-25T16', '504193', 'TV419', '12', '1']
['2014-11-28T03', '780615', 'TV419', '100', '3']
['2014-11-26T12', '513900', 'TV419', '25', '2']
['2014-11-28T14', '504828', 'TV419', '12', '1']
['2014-11-27T17', '512751', 'TV419', '75', '2']
['2014-12-24T11', '228345', 'TV419', '87', '3']
['2014-11-28T06', '231485', 'TV419', '100', '3']
['2015-01-06T12', '511494', 'TV419', '100', '3']
['2014-12-26T23', '239546', 'TV419', '12', '1']
['2014-12-02T02', '109173', 'TV419', '100', '3']
['2014-12-01T12', '516660', 'TV419', '12', '1']
['2014-12-02T02', '515328', 'TV419', '12', '1']
['2014-12-05T04', '240850', 'TV419', '87', '3']
['2014-12-04T19', '506569', 'TV419', '12', '1']
['2014-12-04T03', '505459', 'TV419', '300', '3']
['2014-12-29T22', '780228', 'TV419', '100', '3']
['2014-12-04T03', '781885', 'TV419', '12', '1']
['2014-12-20T06', '512260', 'TV419', '12', '1']
['2014-12-05T00', '520929', 'TV419', '12', '1']
['2014-12-19T20', '786482', 'TV419', '12', '1']
['2014-12-06T15', '71535', 'TV419', '12', '1']
['2014-12-03T04', '798247', 'TV419', '100', '3']
['2014-12-06T18', '523276', 'TV419', '12', '1']
['2014-12-07T12', '784145', 'TV419', '200', '3']
['2014-12-08T01', '787010', 'TV419', '87', '3']
['2014-12-12T20', '249387', 'TV419', '100', '3']
['2014-12-08T17', '524771', 'TV419', '12', '1']
['2014-12-09T03', '516851', 'TV419', '87', '3']
['2014-12-09T06', '523063', 'TV419', '100', '3']
['2014-12-09T07', '526903', 'TV419', '12', '1']
['2014-11-04T20', '878718', 'TV419', '100', '3']
['2014-12-12T01', '522112', 'TV419', '100', '3']
['2014-12-01T02', '783768', 'TV419', '100', '3']
['2014-12-15T02', '259513', 'TV419', '12', '1']
['2014-12-12T06', '83895', 'TV419', '37', '2']
['2015-01-25T01', '785011', 'TV419', '112', '3']
['2014-12-12T18', '525707', 'TV419', '12', '1']
['2014-12-12T18', '251571', 'TV419', '62', '2']
['2014-12-16T02', '525007', 'TV419', '300', '3']
['2014-12-25T23', '785911', 'TV419', '262', '3']
['2014-12-13T15', '518795', 'TV419', '25', '2']
['2014-12-13T17', '519772', 'TV419', '37', '2']
['2014-12-13T23', '256591', 'TV419', '200', '3']
['2014-12-18T18', '527872', 'TV419', '100', '3']
['2014-12-14T11', '519748', 'TV419', '12', '1']
['2014-12-15T06', '787826', 'TV419', '12', '1']
['2014-12-15T14', '253055', 'TV419', '100', '3']
['2014-12-16T19', '251562', 'TV419', '12', '1']
['2015-01-20T03', '252369', 'TV419', '87', '3']
['2014-12-18T00', '792449', 'TV419', '12', '1']
['2014-12-18T15', '265526', 'TV419', '37', '2']
['2014-12-20T05', '263864', 'TV419', '37', '2']
['2014-12-26T00', '538006', 'TV419', '75', '2']
['2014-12-17T21', '263632', 'TV419', '100', '3']
['2014-12-19T10', '267663', 'TV419', '12', '1']
['2014-12-22T08', '533722', 'TV419', '25', '2']
['2014-12-19T14', '533054', 'TV419', '12', '1']
['2015-01-21T05', '133302', 'TV419', '100', '3']
['2014-12-20T05', '536198', 'TV419', '100', '3']
['2014-12-04T14', '77165', 'TV419', '12', '1']
['2014-12-21T01', '791764', 'TV419', '12', '1']
['2014-12-21T20', '270672', 'TV419', '100', '3']
['2014-12-22T01', '790611', 'TV419', '100', '3']
['2014-12-18T05', '538223', 'TV419', '187', '3']
['2014-12-23T03', '409293', 'TV419', '12', '1']
['2014-12-23T09', '272014', 'TV419', '12', '1']
['2014-12-27T01', '271980', 'TV419', '50', '2']
['2014-12-24T02', '538547', 'TV419', '87', '3']
['2015-01-06T07', '789600', 'TV419', '12', '1']
['2014-12-24T05', '801852', 'TV419', '100', '3']
['2014-12-24T16', '788986', 'TV419', '25', '2']
['2014-12-25T17', '532029', 'TV419', '87', '3']
['2014-12-25T23', '532551', 'TV419', '12', '1']
['2015-01-10T07', '532623', 'TV419', '12', '1']
['2015-01-05T15', '695204', 'TV419', '100', '3']
['2014-12-26T19', '795666', 'TV419', '12', '1']
['2015-01-17T20', '549489', 'TV419', '100', '3']
['2014-12-28T21', '551215', 'TV419', '50', '2']
['2014-12-29T13', '279585', 'TV419', '100', '3']
['2014-12-29T20', '284134', 'TV419', '150', '3']
['2015-01-01T20', '214383', 'TV419', '137', '3']
['2015-01-01T06', '793464', 'TV419', '12', '1']
['2015-01-03T17', '547263', 'TV419', '12', '1']
['2015-01-04T20', '794513', 'TV419', '100', '3']
['2015-01-06T12', '563453', 'TV419', '100', '3']
['2014-12-22T23', '266312', 'TV419', '12', '1']
['2014-12-29T04', '801139', 'TV419', '87', '3']
['2015-01-11T15', '291478', 'TV419', '62', '2']
['2015-01-13T08', '799043', 'TV419', '100', '3']
['2015-01-13T00', '425184', 'TV419', '12', '1']
['2015-01-13T16', '553553', 'TV419', '25', '2']
['2015-01-16T18', '557367', 'TV419', '100', '3']
['2015-01-17T04', '553527', 'TV419', '100', '3']
['2015-01-17T08', '800637', 'TV419', '100', '3']
['2015-01-21T14', '374451', 'TV419', '100', '3']
['2015-01-22T06', '166438', 'TV419', '12', '1']
['2015-01-21T10', '37750', 'TV419', '112', '3']
['2015-01-26T02', '383656', 'TV419', '100', '3']
['2014-12-07T16', '641548', 'TV419', '12', '1']
['2014-12-07T02', '406122', 'TV419', '87', '3']
['2015-01-25T16', '94436', 'TV419', '100', '3']
['2015-01-26T05', '298933', 'TV419', '75', '2']
['2015-01-27T21', '719144', 'TV419', '62', '2']
['2015-01-27T20', '36762', 'TV419', '12', '1']
['2015-01-17T14', '166916', 'TV419', '100', '3']
['2015-01-29T11', '313276', 'TV419', '100', '3']
['2015-01-06T14', '724980', 'TV419', '87', '3']
['2015-01-31T10', '72905', 'TV419', '12', '1']
['2014-11-30T15', '321631', 'TV419', '100', '3']
['2015-01-23T04', '109305', 'TV214', '79', '2']
['2014-10-11T04', '109305', 'TV569', '8', '1']
['2014-12-05T15', '109843', 'TV419', '12', '1']
['2015-01-13T13', '37792', 'TV419', '100', '3']
['2014-11-06T21', '33841', 'TV419', '87', '3']
['2014-11-07T23', '212147', 'TV419', '62', '2']
['2015-01-25T18', '117961', 'TV419', '100', '3']
['2014-12-28T21', '358584', 'TV419', '37', '2']
['2014-10-16T19', '55690', 'TV419', '12', '1']
['2015-01-19T05', '265162', 'TV419', '12', '1']
['2014-11-28T06', '222365', 'TV419', '12', '1']
['2014-12-22T18', '328919', 'TV419', '25', '2']
['2014-12-17T22', '883663', 'TV419', '87', '3']
['2014-11-24T14', '190205', 'TV419', '87', '3']
['2014-10-19T13', '884168', 'TV419', '100', '3']
['2015-01-09T09', '876299', 'TV419', '100', '3']
['2014-11-03T01', '486309', 'TV419', '75', '2']
['2015-01-09T17', '650738', 'TV419', '87', '3']
['2015-01-17T19', '385201', 'TV419', '25', '2']
['2014-11-08T09', '878597', 'TV419', '12', '1']
['2014-11-30T13', '94936', 'TV419', '25', '2']
['2014-12-03T10', '667092', 'TV419', '287', '3']
['2015-01-08T02', '349670', 'TV419', '37', '2']
['2014-10-02T02', '667797', 'TV419', '25', '2']
['2014-11-08T10', '804774', 'TV419', '87', '3']
['2014-12-08T23', '606615', 'TV419', '75', '2']
['2014-12-02T11', '378929', 'TV419', '150', '3']
['2014-12-29T02', '399509', 'TV419', '12', '1']
['2014-12-21T01', '158351', 'TV419', '12', '1']
['2014-11-27T10', '278610', 'TV419', '100', '3']
['2014-12-05T03', '646562', 'TV419', '187', '3']
['2014-11-28T13', '426269', 'TV419', '37', '2']
['2014-11-21T01', '93531', 'TV419', '12', '1']
['2014-12-27T13', '254638', 'TV419', '87', '3']
['2014-10-20T02', '505193', 'TV419', '12', '1']
['2014-12-07T00', '697737', 'TV419', '100', '3']
['2014-12-06T14', '822512', 'TV419', '150', '3']
['2014-11-28T07', '29968', 'TV419', '100', '3']
['2014-12-17T20', '327460', 'TV419', '100', '3']
['2014-11-28T17', '394725', 'TV419', '100', '3']
['2014-12-01T18', '99922', 'TV419', '187', '3']
['2014-12-08T07', '360251', 'TV419', '150', '3']
['2014-10-10T10', '743359', 'TV419', '12', '1']
['2014-12-19T19', '319820', 'TV419', '100', '3']
['2014-10-25T23', '354184', 'TV419', '12', '1']
['2014-12-16T03', '106524', 'TV419', '37', '2']
['2014-10-01T12', '585756', 'TV419', '12', '1']
['2014-11-08T19', '468663', 'TV419', '100', '3']
['2015-01-13T05', '455215', 'TV419', '12', '1']
['2014-12-07T02', '544240', 'TV419', '12', '1']
['2014-12-27T06', '610796', 'TV419', '100', '3']
['2014-12-17T05', '443909', 'TV419', '25', '2']
['2014-12-04T07', '681439', 'TV419', '87', '3']
['2015-01-26T22', '669567', 'TV419', '12', '1']
['2014-10-15T20', '814528', 'TV419', '25', '2']
['2014-12-17T19', '752613', 'TV419', '12', '1']
['2015-01-14T17', '499755', 'TV419', '100', '3']
['2015-01-17T18', '590557', 'TV419', '12', '1']
['2014-11-03T16', '453381', 'TV419', '37', '2']
['2014-10-20T03', '701449', 'TV419', '100', '3']
['2014-10-20T23', '174485', 'TV419', '12', '1']
['2014-12-03T03', '752663', 'TV419', '12', '1']
['2014-10-22T03', '568337', 'TV419', '12', '1']
['2014-11-29T12', '343873', 'TV419', '12', '1']
['2014-12-05T02', '726603', 'TV419', '87', '3']
['2014-11-24T12', '725953', 'TV419', '12', '1']
['2014-12-30T21', '332119', 'TV419', '87', '3']
['2014-11-15T04', '512882', 'TV419', '25', '2']
['2014-12-24T15', '620396', 'TV419', '37', '2']
['2014-10-30T00', '740523', 'TV419', '37', '2']
['2014-12-20T03', '624986', 'TV419', '87', '3']
['2014-10-16T23', '591952', 'TV419', '100', '3']
['2014-11-30T01', '702739', 'TV419', '12', '1']
['2014-11-23T02', '214405', 'TV419', '12', '1']
['2014-10-26T05', '731382', 'TV419', '12', '1']
['2014-12-03T04', '422157', 'TV419', '25', '2']
['2014-11-15T23', '602109', 'TV419', '25', '2']
['2014-12-28T21', '16326', 'TV419', '12', '1']
['2015-01-25T19', '578581', 'TV419', '75', '2']
['2014-12-30T17', '555185', 'TV419', '50', '2']
['2014-10-17T21', '353436', 'TV419', '25', '2']
['2014-12-24T21', '518041', 'TV419', '175', '3']
['2014-12-23T13', '438453', 'TV419', '12', '1']
['2014-11-29T13', '171155', 'TV419', '62', '2']
['2014-11-19T02', '417394', 'TV419', '100', '3']
['2014-12-15T21', '666380', 'TV419', '87', '3']
['2014-11-15T06', '723518', 'TV419', '100', '3']
['2014-12-21T23', '647784', 'TV419', '100', '3']
['2014-11-22T19', '862253', 'TV419', '125', '3']
['2015-01-11T01', '183925', 'TV419', '100', '3']
['2014-12-21T02', '598198', 'TV419', '87', '3']
['2014-12-16T01', '741645', 'TV419', '25', '2']
['2014-11-28T19', '9774', 'TV419', '100', '3']
['2014-12-14T10', '586237', 'TV419', '87', '3']
['2014-11-04T17', '879593', 'TV419', '87', '3']
['2014-12-27T03', '607053', 'TV419', '100', '3']
['2015-01-16T15', '516236', 'TV419', '300', '3']
['2014-12-27T20', '831959', 'TV419', '75', '2']
['2014-11-16T06', '729706', 'TV419', '87', '3']
['2014-12-30T02', '508625', 'TV419', '12', '1']
['2014-12-30T20', '579351', 'TV419', '87', '3']
['2014-12-01T04', '111923', 'TV419', '100', '3']
['2014-10-24T00', '382034', 'TV419', '100', '3']
['2014-10-09T03', '647130', 'TV419', '100', '3']
['2014-11-16T10', '460631', 'TV419', '12', '1']
['2015-01-20T21', '67288', 'TV419', '12', '1']
['2015-01-04T00', '873202', 'TV419', '87', '3']
['2014-10-13T12', '566851', 'TV419', '75', '2']
['2014-12-29T13', '69089', 'TV419', '25', '2']
['2014-10-07T17', '401453', 'TV419', '87', '3']
['2014-10-17T14', '886782', 'TV419', '12', '1']
['2014-12-24T20', '92626', 'TV419', '37', '2']
['2014-12-06T19', '17897', 'TV419', '12', '1']
['2014-10-24T14', '701038', 'TV419', '187', '3']
['2014-11-26T02', '514055', 'TV419', '87', '3']
['2014-12-13T03', '81158', 'TV419', '87', '3']
['2014-12-26T16', '14973', 'TV419', '87', '3']
['2015-01-30T02', '31212', 'TV419', '12', '1']
['2014-11-18T04', '656624', 'TV419', '100', '3']
['2014-12-04T06', '551259', 'TV419', '100', '3']
['2014-11-05T22', '616156', 'TV419', '37', '2']
['2014-10-17T11', '31907', 'TV419', '112', '3']
['2015-01-28T13', '467431', 'TV419', '12', '1']
['2014-11-04T17', '682316', 'TV419', '12', '1']
['2014-11-25T14', '379048', 'TV419', '137', '3']
['2015-01-01T04', '860601', 'TV419', '87', '3']
['2015-01-01T09', '742545', 'TV419', '100', '3']
['2014-12-01T07', '737359', 'TV419', '100', '3']
['2014-11-26T06', '22914', 'TV419', '100', '3']
['2015-01-30T15', '279148', 'TV419', '62', '2']
['2014-12-05T20', '561445', 'TV419', '12', '1']
['2014-11-26T01', '447580', 'TV419', '12', '1']
['2014-11-01T19', '522877', 'TV419', '100', '3']
['2014-12-05T01', '204004', 'TV419', '50', '2']
['2014-11-08T16', '113855', 'TV419', '50', '2']
['2014-10-19T00', '837143', 'TV419', '100', '3']
['2014-12-24T01', '11016', 'TV419', '87', '3']
['2015-01-26T02', '825186', 'TV419', '112', '3']
['2014-10-18T07', '32466', 'TV419', '100', '3']
['2014-10-27T04', '636869', 'TV419', '75', '2']
['2014-10-25T09', '173247', 'TV419', '75', '2']
['2014-10-16T06', '445104', 'TV419', '87', '3']
['2014-11-21T10', '837097', 'TV419', '25', '2']
['2015-01-16T20', '571073', 'TV419', '62', '2']
['2015-01-08T01', '118510', 'TV419', '12', '1']
['2014-11-25T02', '241374', 'TV419', '87', '3']
['2015-01-17T05', '854581', 'TV419', '12', '1']
['2014-10-15T06', '852667', 'TV419', '125', '3']
['2014-10-02T05', '474769', 'TV419', '12', '1']
['2014-11-16T00', '301644', 'TV419', '100', '3']
['2015-01-21T22', '656929', 'TV419', '12', '1']
['2014-12-14T22', '265129', 'TV419', '100', '3']
['2015-01-17T02', '727525', 'TV419', '25', '2']
['2014-10-20T21', '3382', 'TV419', '125', '3']
['2014-11-07T20', '683569', 'TV419', '87', '3']
['2014-12-24T10', '176787', 'TV419', '12', '1']
['2014-12-03T06', '471', 'TV419', '12', '1']
['2014-11-06T15', '607835', 'TV419', '100', '3']
['2014-12-13T01', '42877', 'TV419', '50', '2']
['2014-12-09T02', '826809', 'TV419', '100', '3']
['2014-12-23T08', '110666', 'TV419', '12', '1']
['2014-12-21T07', '188898', 'TV419', '87', '3']
['2014-12-16T01', '643225', 'TV419', '162', '3']
['2014-11-23T22', '329045', 'TV419', '300', '3']
['2014-12-02T07', '837292', 'TV419', '12', '1']
['2014-12-19T19', '159082', 'TV419', '37', '2']
['2014-10-25T11', '725766', 'TV419', '100', '3']
['2014-12-09T17', '688595', 'TV419', '100', '3']
['2014-11-19T03', '423489', 'TV419', '12', '1']
['2014-11-05T18', '185607', 'TV419', '100', '3']
['2014-11-15T03', '152364', 'TV419', '87', '3']
['2014-11-23T10', '681354', 'TV419', '75', '2']
['2014-10-24T16', '328891', 'TV419', '100', '3']
['2014-12-01T04', '505492', 'TV419', '100', '3']
['2014-11-23T20', '708807', 'TV419', '50', '2']
['2014-12-15T23', '708442', 'TV419', '12', '1']
['2015-01-10T04', '828069', 'TV419', '100', '3']
['2015-01-16T18', '312317', 'TV419', '75', '2']
['2014-10-07T22', '732322', 'TV419', '100', '3']
['2014-10-26T19', '389205', 'TV419', '300', '3']
['2014-10-12T18', '672373', 'TV419', '100', '3']
['2014-12-04T08', '141057', 'TV419', '12', '1']
['2015-01-19T12', '317658', 'TV419', '100', '3']
['2014-10-15T07', '678545', 'TV419', '37', '2']
['2015-01-16T02', '285419', 'TV060', '300', '3']
['2015-01-11T21', '285419', 'TV078', '100', '3']
['2015-01-16T01', '285419', 'TV080', '116', '3']
['2015-01-11T21', '285419', 'TV086', '11', '1']
['2014-10-29T02', '285419', 'TV140', '98', '3']
['2014-12-18T22', '285419', 'TV210', '50', '2']
['2014-10-27T18', '285419', 'TV216', '98', '3']
['2014-12-24T00', '285419', 'TV234', '110', '3']
['2015-01-11T18', '285419', 'TV396', '200', '3']
['2015-01-16T01', '285419', 'TV405', '96', '3']
['2015-01-15T04', '285419', 'TV417', '114', '3']
['2015-01-17T22', '285419', 'TV419', '100', '3']
['2014-12-11T06', '285419', 'TV435', '64', '2']
['2014-12-18T07', '285419', 'TV532', '3', '1']
['2014-12-27T20', '756960', 'TV419', '25', '2']
['2015-01-02T21', '327061', 'TV419', '12', '1']
['2014-11-12T00', '159598', 'TV040', '98', '3']
['2014-10-25T20', '159598', 'TV064', '14', '1']
['2014-10-27T21', '159598', 'TV082', '12', '1']
['2014-10-04T01', '159598', 'TV120', '4', '1']
['2014-10-03T23', '159598', 'TV128', '1', '1']
['2014-10-05T04', '159598', 'TV188', '4', '1']
['2014-10-12T01', '159598', 'TV189', '1', '1']
['2014-10-28T01', '159598', 'TV193', '41', '2']
['2014-10-01T01', '159598', 'TV206', '1', '1']
['2014-10-07T03', '159598', 'TV214', '2', '1']
['2014-10-21T03', '159598', 'TV221', '39', '2']
['2014-10-05T03', '159598', 'TV223', '4', '1']
['2014-10-24T13', '159598', 'TV224', '2', '1']
['2014-11-10T00', '159598', 'TV234', '27', '2']
['2014-11-04T00', '159598', 'TV235', '3', '1']
['2014-11-10T00', '159598', 'TV239', '15', '1']
['2014-11-16T18', '159598', 'TV243', '9', '1']
['2014-10-28T00', '159598', 'TV332', '3', '1']
['2014-11-17T20', '159598', 'TV339', '100', '3']
['2014-10-25T20', '159598', 'TV419', '37', '2']
['2014-10-06T02', '159598', 'TV432', '6', '1']
['2014-10-27T21', '159598', 'TV544', '16', '1']
['2014-10-18T03', '490327', 'TV201', '1', '1']
['2014-10-31T00', '490327', 'TV419', '100', '3']
['2014-12-08T04', '490327', 'TV504', '95', '3']
['2014-10-10T14', '446229', 'TV001', '33', '2']
['2014-10-10T14', '446229', 'TV071', '14', '1']
['2014-10-26T19', '446229', 'TV196', '31', '2']
['2014-11-03T05', '446229', 'TV209', '1', '1']
['2014-11-03T05', '446229', 'TV212', '2', '1']
['2014-11-01T16', '446229', 'TV237', '6', '1']
['2014-10-26T18', '446229', 'TV313', '1', '1']
['2014-10-10T14', '446229', 'TV323', '100', '3']
['2014-10-10T14', '446229', 'TV365', '3', '1']
['2014-10-10T14', '446229', 'TV398', '2', '1']
['2014-10-10T14', '446229', 'TV419', '12', '1']
['2014-10-10T14', '446229', 'TV427', '11', '1']
['2014-11-01T16', '446229', 'TV460', '96', '3']
['2014-10-10T13', '446229', 'TV466', '187', '3']
['2014-10-25T16', '446229', 'TV552', '25', '2']
['2014-10-15T00', '757381', 'TV069', '128', '3']
['2014-10-03T20', '757381', 'TV071', '100', '3']
['2014-10-16T13', '757381', 'TV072', '14', '1']
['2014-10-04T19', '757381', 'TV081', '166', '3']
['2014-10-21T16', '757381', 'TV091', '75', '2']
['2014-10-13T20', '757381', 'TV128', '55', '2']
['2014-10-13T18', '757381', 'TV172', '53', '2']
['2014-10-03T20', '757381', 'TV188', '1', '1']
['2014-11-24T20', '757381', 'TV221', '95', '3']
['2014-11-28T21', '757381', 'TV227', '93', '3']
['2014-10-04T19', '757381', 'TV319', '19', '1']
['2014-10-15T00', '757381', 'TV419', '100', '3']
['2015-01-05T02', '389362', 'TV419', '100', '3']
['2014-10-08T04', '758726', 'TV003', '12', '1']
['2014-11-08T19', '758726', 'TV015', '9', '1']
['2014-10-29T01', '758726', 'TV028', '3', '1']
['2014-12-03T00', '758726', 'TV044', '6', '1']
['2014-10-23T18', '758726', 'TV050', '89', '3']
['2014-10-20T03', '758726', 'TV128', '8', '1']
['2014-10-03T01', '758726', 'TV138', '56', '2']
['2014-11-18T03', '758726', 'TV141', '9', '1']
['2014-10-09T00', '758726', 'TV144', '100', '3']
['2014-11-17T21', '758726', 'TV147', '11', '1']
['2014-12-03T00', '758726', 'TV156', '4', '1']
['2014-10-18T04', '758726', 'TV185', '1', '1']
['2014-10-07T23', '758726', 'TV189', '12', '1']
['2014-10-06T22', '758726', 'TV201', '145', '3']
['2014-12-01T14', '758726', 'TV202', '93', '3']
['2014-10-08T04', '758726', 'TV204', '3', '1']
['2014-10-03T01', '758726', 'TV215', '100', '3']
['2014-10-06T02', '758726', 'TV219', '4', '1']
['2014-11-28T01', '758726', 'TV233', '5', '1']
['2014-10-29T20', '758726', 'TV234', '3', '1']
['2014-11-10T23', '758726', 'TV239', '9', '1']
['2014-12-04T01', '758726', 'TV249', '6', '1']
['2014-12-02T16', '758726', 'TV253', '1', '1']
['2014-10-29T04', '758726', 'TV314', '19', '1']
['2014-10-02T04', '758726', 'TV317', '4', '1']
['2014-12-03T00', '758726', 'TV324', '2', '1']
['2014-10-23T01', '758726', 'TV337', '1', '1']
['2014-11-17T21', '758726', 'TV370', '7', '1']
['2014-11-04T23', '758726', 'TV377', '100', '3']
['2014-12-03T19', '758726', 'TV379', '4', '1']
['2014-11-11T04', '758726', 'TV388', '201', '3']
['2014-12-04T00', '758726', 'TV401', '1', '1']
['2014-11-17T03', '758726', 'TV411', '2', '1']
['2014-12-04T14', '758726', 'TV419', '12', '1']
['2014-10-22T21', '758726', 'TV421', '2', '1']
['2014-11-18T01', '758726', 'TV432', '13', '1']
['2014-11-17T21', '758726', 'TV434', '3', '1']
['2014-10-20T15', '758726', 'TV489', '129', '3']
['2014-11-28T01', '758726', 'TV517', '14', '1']
['2014-11-10T05', '758726', 'TV518', '100', '3']
['2014-11-10T23', '758726', 'TV544', '9', '1']
['2014-10-30T01', '758726', 'TV563', '105', '3']
['2014-12-05T00', '758726', 'TV569', '1', '1']
['2014-11-04T17', '758726', 'TV573', '22', '2']
['2014-11-28T02', '758726', 'TV583', '104', '3']
['2014-10-23T02', '758726', 'TV591', '53', '2']
['2014-11-04T16', '758726', 'TV595', '49', '2']
['2014-11-02T17', '451633', 'TV106', '6', '1']
['2014-11-02T17', '451633', 'TV108', '115', '3']
['2014-11-02T17', '451633', 'TV111', '3', '1']
